listingid,sellercity,sellerrating,sellerrevcnt,vehcertified,vehlistdays,vehmileage,enginesize,cylinders,owners,black_x,blue_x,brown_x,green,metallic,pearlcoat,clearcoat,granite,red_x,silver_x,white,none_x,black_y,blue_y,brown_y,beige,trim,red_y,silver_y,frost,maple,tan,cirrus,carbon,plum,none_y,Accident(s) Reported,Buyback Protection Eligible,Non-Personal Use Reported,Title Issue(s) Reported,None of the above,Digital Motorworks (DMi),HomeNet Automotive,Inventory Command Center,Jeep Certified Program,My Dealer Center,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,_4_wd,awd,fwd,hybrid,Diesel,E85 Flex Fuel,Gasoline,Unknown,Cadillac,Jeep,Fair Price,Good Deal,Great Deal,2015,2016,2017,2018,2019,alarm,am,anti,assist,automatic_x,auxilliary,bluetooth,braking,card,cooler,engine,fm,front_x,memory,slot,speakers,theft,wheels,4wd,6l,all,amp,automatic_y,br,cadillac,call,camera,car,carfax,certified,cherokee,clean,control,free,from,front_y,grand,gt,have,it,jeep,leather,limited,lt,navigation,new,on,one,owned,owner,power,price,radio,rear,seat,service,speed,steering,system,that,this,us,v6,vehicles,warranty,wheel,x27,x3d
8622015,3,2.5,59,0,4.969813299576001,13625.0,3.6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5059035096092626,0.0,0.0,0.474747607200435,0.0,0.0,0.0,0.0,0.0,0.0,0.5024317230327082,0.0,0.0,0.0,0.0,0.0,0.5159832478994605,0.0,0.0,0.0,0.0,0.0,0.0,0.5110524864603978,0.13700966079799906,0.0,0.2557897220526181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14687542589066951,0.0,0.13246165296258414,0.0,0.0,0.0,0.0,0.14679044939871566,0.13081601306791918,0.12499572068371757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16047238576738185,0.49271018240147313,0.0,0.0,0.0,0.0,0.0,0.5410248985507855,0.0
8625693,4,4.7,2116,0,4.9344739331306915,42553.0,3.6,6,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7095372060880637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046679737129711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16582242390779348,0.0,0.0,0.15408752218464855,0.0,0.0,0.33872347449811935,0.0,0.0,0.0,0.0,0.1731456021717681,0.0,0.0,0.0,0.17266951355237542,0.0,0.17290723425603186,0.0,0.0,0.35978274158295187,0.16373980881319672,0.15829588469110123,0.18515088071485436,0.0,0.0,0.0,0.32341116829481337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18346973465500238,0.17069773894714269,0.0,0.0,0.0,0.15226344617925153,0.5054920540574316,0.1572147289461963,0.1644717492370442,0.17571302348841053,0.0,0.0,0.0
8625750,2,3.9,46,1,3.4657359027997265,48951.0,3.6,6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33564579095385844,0.0,0.0,0.3149751545414545,0.3198355561614076,0.0,0.0,0.3291414981469528,0.2784776713534121,0.28979273935626243,0.3333424059617073,0.3103558395473171,0.3165469451236929,0.3291414981469528,0.0,0.0,0.0,0.09511602338861953,0.08319330795305997,0.24878926816835834,0.20976307436765754,0.0773058937551144,0.0,0.0,0.0,0.0,0.23794883992373717,0.0,0.3474694209078418,0.08686735522696044,0.0,0.08890163244535343,0.08963521145719927,0.17325700199697408,0.08212695187622578,0.08674776575918736,0.0,0.0,0.0,0.08214845747488325,0.0,0.185780835596231,0.0,0.0,0.0910347162401449,0.0,0.07751832636445488,0.08805689132678308,0.07786817481510615,0.14926776182757318,0.09175155292771206,0.38984177215287874,0.0,0.0,0.09204698481374958,0.08563925932609197,0.1779036653230759,0.09471330112993517,0.0,0.0,0.08453532224409101,0.1577496342382564,0.0,0.5289326013915863,0.08216997360775555,0.0,0.0
8626885,11,4.5,1075,0,1.791759469228055,44179.0,3.6,6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3241616824407643,0.0,0.3141911765004654,0.2546846270916494,0.0,0.3107359597296487,0.0,0.27870269561115385,0.31977713966840293,0.2705547422864099,0.2815478868806825,0.0,0.0,0.3075409125021101,0.31977713966840293,0.0,0.32487149399000864,0.0,0.07565329725757865,0.06617021856242968,0.19788178467402423,0.0,0.06148749234525104,0.0,0.0,0.06758255551803186,0.06484648710182853,0.06308651153092798,0.13534778917254586,0.0,0.41455487390053486,0.06689607396961979,0.0,0.0,0.20670749796509466,0.13064412244749837,0.41398416011970235,0.0,0.0,0.14356865666595278,0.19601749898248452,0.12633361689813105,0.0,0.0,0.06589099890477619,0.3620355542165691,0.06452742393724213,0.18496937040983719,0.0,0.12386943789950684,0.0,0.0,0.0,0.38968711368233655,0.07526472148036695,0.07321224811225249,0.06811567716876281,0.07075042877323336,0.0,0.0,0.12151921646438185,0.0,0.18820614360433355,0.0,0.0,0.13071255961986963,0.06671764062107656,0.0
8627430,7,4.6,162,0,3.2188758248682006,22269.0,3.6,6,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603017243982085,0.0,0.0,0.0,0.0,0.0,0.7977281513524835,0.0,0.0,0.0,0.0,0.33221581054338867,0.2100772180192077,0.07742166797240117,0.0,0.2116086455143672,0.08509623623392976,0.08165112939366961,0.0,0.1704224907283071,0.0,0.0,0.08423185643109263,0.1780695451550417,0.0,0.0,0.0,0.0,0.0,0.18244765903009946,0.0,0.0,0.0795361704321892,0.0,0.0,0.08296632119799621,0.4558552545186743,0.0,0.07763441872332022,0.0881887663646988,0.07798479111113302,0.0,0.18377792226874184,0.29281920283790636,0.08177876285047803,0.0,0.09218483546268169,0.0,0.08908504797414057,0.0948551448855963,0.0,0.07650515633768855,0.16932384667731643,0.0,0.4958354958168998,0.0,0.08229303232833703,0.0,0.0
8629427,2,3.9,50,1,3.970291913552122,16809.0,3.6,6,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5059035096092626,0.0,0.0,0.474747607200435,0.0,0.0,0.0,0.0,0.0,0.0,0.5024317230327082,0.0,0.0,0.0,0.0,0.0,0.5159832478994605,0.0,0.0,0.0,0.0,0.10384838529947145,0.0,0.0,0.114142551554252,0.10952150951376385,0.21309804992134648,0.2285936346289743,0.3500781429731014,0.11669271432436715,0.0,0.0,0.0,0.23274370200296293,0.0,0.11653206456632413,0.0,0.12236170627774669,0.0,0.11035361276118134,0.0,0.24956751496038124,0.0,0.0,0.12229091248439482,0.0,0.10413375530676798,0.2365813402984548,0.20920744403736374,0.0,0.0,0.0,0.0,0.0,0.1236507370948087,0.0,0.0,0.0,0.13368931401481657,0.0,0.22711998502025083,0.0,0.11084690923369443,0.5921152312220613,0.0,0.0,0.0
8629962,3,3.7,4,0,1.791759469228055,38862.0,3.6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3241616824407643,0.0,0.3141911765004654,0.2546846270916494,0.0,0.3107359597296487,0.0,0.27870269561115385,0.31977713966840293,0.2705547422864099,0.2815478868806825,0.0,0.0,0.3075409125021101,0.31977713966840293,0.0,0.32487149399000864,0.0,0.0,0.0,0.2443825786100488,0.0,0.0,0.0,0.0,0.0,0.0,0.23373416187100773,0.0,0.0,0.0,0.0,0.0,0.5282852657939524,0.0,0.0,0.0,0.0,0.26842207962477105,0.0,0.0,0.0,0.2737352780141589,0.0,0.0,0.0,0.23907271119710674,0.0,0.0,0.0,0.0,0.2703791999674654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4502260708709384,0.0,0.0,0.24316233241263374,0.2597819310910229,0.0,0.0,0.0
8630638,6,4.8,973,1,4.59511985013459,38908.0,3.6,6,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3241616824407643,0.0,0.3141911765004654,0.2546846270916494,0.0,0.3107359597296487,0.0,0.27870269561115385,0.31977713966840293,0.2705547422864099,0.2815478868806825,0.0,0.0,0.3075409125021101,0.31977713966840293,0.0,0.32487149399000864,0.0,0.0,0.0,0.20682679655970312,0.0,0.0,0.0,0.0,0.10595631743572768,0.0,0.2967221818017913,0.10609951934981116,0.10832358408873102,0.10832358408873102,0.0,0.0,0.22355020111356183,0.0,0.0,0.10817445603326532,0.0,0.0,0.0,0.10243911901991759,0.09903328390186783,0.1158343425686405,0.0,0.10330428529369363,0.22704056578834456,0.10116646465344124,0.19333069189037733,0.43922774198925274,0.09710160693141784,0.09306844272983844,0.22882835635709592,0.3645994908855812,0.10182561461668296,0.0,0.22956516342727934,0.0,0.0,0.0,0.3723035940751467,0.09525926162118527,0.0,0.0,0.0,0.0,0.0,0.10460029890884269,0.0
8630762,5,3.7,732,0,1.791759469228055,21904.0,3.6,6,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7359128539091306,0.0,0.0,0.0,0.0,0.0,0.6770762670861522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6298422683188574,0.0,0.0,0.0,0.22262537557913809,0.0,0.47452254798583626,0.2293026164256012,0.0,0.0,0.0,0.0,0.47778627675766605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2184161039911077,0.0,0.0,0.0,0.0
8630863,1,4.7,55,0,3.871201010907891,31828.0,3.6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3609759514923403,0.0,0.0,0.0,0.0,0.45839869261812505,0.0,0.0,0.0,0.36917889981615354,0.0,0.0,0.3649356837094722,0.0,0.0,0.0,0.3563490300615679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3820790507582405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3422380099902542,0.0,0.0,0.0,0.0,0.0
